Name,Year,Category 3,Category 2,Category 1,Tropical storm,Tropical depression,Source(s)
San Agapito,1851,Florida,Dominican Republic,Cuba,Newfoundland,—,[47]
Mobile,1852,Mississippi,—,Bahamas,—,—,[47]
Coastal,1854,Georgia,—,—,—,—,[47]
Middle Gulf Coast,1855,Louisiana,—,—,—,—,[47]
Southeastern,1856,—,"Cuba, Florida",Inagua,—,—,[47]
Unnamed,1859,—,—,"Inagua, Cuba",—,—,[47]
San Narciso,1867,"St Thomas, Puerto Rico",—,Dominican Republic,—,—,[47]
New England,1869,Rhode Island,—,—,—,—,[47]
San Marcos,1870,Cuba,—,Bahamas,—,—,[47]
Unnamed,1871,"Bahamas, Florida",—,—,Georgia,—,[47]
Santa Juana,1871,British Virgin Islands,"Bahamas, Florida",—,—,—,[47]
Nova Scotia,1873,—,—,Newfoundland,—,—,[47]
Central Florida,1873,"Haiti, Florida",Cuba,—,—,—,[47]
Indianola,1875,Texas,Cuba,—,—,—,[47]
San Felipe,1876,—,—,Dominican Republic,—,—,[47]
Unnamed,1876,Cuba,Florida,—,—,—,[47]
Unnamed,1877,Florida Panhandle,Venezuela,—,—,—,[47]
Great Beaufort,1879,North Carolina,—,Massachusetts,"Turks and Caicos, Nova Scotia",—,[47]
Louisiana,1879,Louisiana,—,—,—,—,[47]
Pensacola,1882,Florida,Cuba,Bahamas,—,—,[47]
Bahamas–North Carolina,1883,Hispaniola,"Bahamas, North Carolina",—,—,—,[47]
Cuba,1886,Cuba,"Saint Vincent, Jamaica, Bahamas",—,—,—,[47]
Unnamed,1886,—,—,Newfoundland,—,—,[47]
Texas–Louisiana,1886,Louisiana,—,Cuba,—,—,[47]
Unnamed,1887,Bahamas,—,—,—,—,[47]
Louisiana,1888,Florida,"Bahamas, Louisiana",Bahamas,Bahamas,—,
San Gil,1888,Cuba,Turks and Caicos,"Quintana Roo, Veracruz",—,—,
San Magín,1891,Martinique,"Dominican Republic, Bahamas",—,—,—,
San Roque,1893,Puerto Rico,—,—,—,—,
Midnight Storm,1893,—,—,New York,—,—,
Sea Islands,1893,"Bahamas, Georgia",—,—,—,—,
Great Charleston,1893,South Carolina,—,—,—,—,
Unnamed,1894,—,"Dominican Republic, Cuba, Florida",South Carolina,—,—,
Florida Panhandle,1894,Florida,—,New York,—,—,
San Ramón,1896,—,"Puerto Rico, Bahamas",Massachusetts,Martinique,—,
Cedar Key,1896,Florida,—,—,—,—,
Unnamed,1899,—,—,Newfoundland,—,—,
Jamaica,1903,Jamaica,Quintana Roo,"Martinique, Tamaulipas",—,—,
Mississippi,1906,—,Mississippi,—,—,—,
Florida Keys,1906,"Nicaragua, Cuba, Florida",—,Belize,Florida,—,
Unnamed,1908,Bahamas,Bahamas,—,—,—,
Velasco,1909,Texas,—,—,—,—,
Monterrey,1909,"Quintana Roo, Tamaulipas",—,"Dominican Republic, Cuba",—,—,
Grand Isle,1909,Louisiana,Cuba,—,—,—,
Florida Keys,1909,"Cuba, Florida",Bahamas,—,—,—,
Jamaica,1912,Jamaica,—,—,—,—,
Gulf Coast,1916,Mississippi,—,—,—,—,
Charleston,1916,—,South Carolina,—,—,—,
Louisiana,1918,Louisiana,—,—,—,—,
Unnamed,1921,Dominican Republic,—,—,—,—,
Unnamed,1923,—,—,Bahamas,Bahamas,—,
Louisiana,1926,Louisiana,—,—,—,—,
Nova Scotia,1927,—,Nova Scotia,—,—,—,
Cuba-Bahamas,1933,Bahamas,Cuba,—,—,—,
Unnamed,1934,—,—,—,—,Haiti,
Unnamed,1938,Quintana Roo,—,Tamaulipas,—,—,
Texas,1941,Texas,—,—,—,—,
Florida,1941,Bahamas,"Bahamas, Florida",Florida,—,—,
Matagorda,1942,Texas,Quintana Roo,—,—,—,
Unnamed,1943,—,—,—,Newfoundland,—,
Jamaica,1944,Jamaica,—,Quintana Roo,Veracruz,—,
Texas,1945,Texas,—,—,—,—,
Fox,1948,Cuba,"Florida, Bermuda",—,—,—,
Able,1950,—,—,Nova Scotia,—,—,
Easy,1950,Florida,—,Cuba,—,—,
Florence,1953,—,—,Florida,—,—,
Carol,1954,New York,—,—,—,—,
Edna,1954,—,Massachusetts,—,—,—,
Hilda,1955,"Quintana Roo, Tamaulipas",—,Cuba,—,—,
Betsy,1956,—,"Guadeloupe, Puerto Rico",—,—,—,
Audrey,1957,Louisiana,—,—,—,—,
Ethel,1960,—,—,Mississippi,—,—,
Arlene,1963,—,Bermuda,—,—,—,
Isbell,1964,—,"Cuba, Florida",—,—,—,
Alma,1966,—,Cuba,Florida,—,—,
Francelia,1969,—,Belize,—,—,—,
Gerda,1969,—,Maine,—,—,Florida,
Celia,1970,Texas,—,—,—,Cuba,
Ella,1970,Tamaulipas,—,—,—,Quintana Roo,
Caroline,1975,Tamaulipas,—,—,—,"Turks and Caicos, Cuba",
Eloise,1975,Florida,—,Dominican Republic,"Cuba, Quintana Roo",—,
Belle,1976,—,—,New York,—,—,
Alicia,1983,Texas,—,—,—,—,
Elena,1985,Mississippi,—,—,—,Cuba,
Kate,1985,—,"Cuba, Florida",—,—,—,
Emily,1987,—,Dominican Republic,Bermuda,Saint Vincent,—,
Bob,1991,—,Rhode Island,—,—,—,
Marilyn,1995,—,Saint Croix,Dominica,—,—,
Roxanne,1995,Quintana Roo,—,—,—,—,
Bertha,1996,—,North Carolina,—,—,—,
Fran,1996,North Carolina,—,—,—,—,
Lili,1996,—,"Cuba, Bahamas",—,—,—,
Bonnie,1998,—,North Carolina,—,—,—,
Isidore,2002,Yucatán,—,Cuba,Louisiana,"Trinidad and Tobago, Venezuela",
Jeanne,2004,"Bahamas, Florida",—,Dominican Republic,"Puerto Rico, Turks and Caicos",Guadeloupe,
Beta,2005,—,Nicaragua,—,—,—,
Karl,2010,Veracruz,—,—,Quintana Roo,—,
Irene,2011,Bahamas,Bahamas,North Carolina,"Puerto Rico, New Jersey, New York",—,
Rina,2011,—,—,—,Quintana Roo,—,
Sandy,2012,Cuba,—,Jamaica,—,—,
Otto,2016,Nicaragua,—,—,—,—,
Zeta,2020,Louisiana,—,Quintana Roo,—,—,
Grace,2021,Veracruz,—,Quintana Roo,Jamaica,—,
Larry,2021,—,—,Newfoundland,—,—,
