Name,Nominal damage(Billions USD),Normalized damage(Billions USD),Season,Storm classificationat peak intensity,Areas affected,References
Katrina,$125.0,$116.9,2005,Category 5 hurricane,Louisiana Mississippi The Bahamas United States Gulf Coast South Florida Northeast Eastern Canada,[4][5]
Harvey,$125.0,$62.2,2017,Category 4 hurricane,Texas Louisiana South America Central America The Caribbean Yucatan Peninsula,[5][6]
Maria,$91.6,N/A,2017,Category 5 hurricane,Puerto Rico Lesser Antilles Greater Antilles Caribbean Sea Eastern United States,[7]
Irma,$77.2,$31.0,2017,Category 5 hurricane,Lesser Antilles Greater Antilles Caribbean Sea Eastern United States,[5]
Sandy,$68.7,$73.5,2012,Category 3 hurricane,The Caribbean United States East Coast Eastern Canada,[5][8]
Ida,≥$50.6,N/A,2021,Category 4 hurricane,Venezuela Colombia Panama Cayman Islands Cuba Southeastern United States Northeastern United States Canada,[9][10]
Ike,$38.0,$35.2,2008,Category 4 hurricane,Greater Antilles Texas Louisiana Midwestern United States Eastern Canada Iceland,[11][12][13]
Wilma,$27.4,$31.9,2005,Category 5 hurricane,Greater Antilles Central America Florida,[14][15][16][17]
Andrew,$27.3,$106.0,1992,Category 5 hurricane,The Bahamas Florida Louisiana,[11][18]
Ivan,$26.1,$25.9,2004,Category 5 hurricane,The Caribbean Venezuela United States Gulf Coast,[11][19][20]
Michael,$25.5,N/A,2018,Category 5 hurricane,Central America Florida Georgia United States Gulf Coast Eastern United States Eastern Canada Iberian Peninsula,[21][22]
Florence,$24.2,N/A,2018,Category 4 hurricane,West Africa Cape Verde Bermuda Eastern United States Atlantic Canada,[22][23]
Laura,$19.1,N/A,2020,Category 4 hurricane,Leeward Islands Puerto Rico Dominican Republic Haiti Cuba Southeastern United States,[24][25]
Rita,$18.5,$14.9,2005,Category 5 hurricane,Cuba Texas Louisiana,[26]
Charley,$16.9,$26.9,2004,Category 4 hurricane,Jamaica Cayman Islands Cuba Florida The Carolinas,[27][11]
Matthew,$16.5,$8.6,2016,Category 5 hurricane,Colombia Venezuela The Caribbean United States East Coast,[28][29]
Irene,$14.2,$10.8,2011,Category 3 hurricane,The Caribbean United States East Coast Eastern Canada,[30][31][32]
Hugo,$11.0,$25.1,1989,Category 5 hurricane,The Caribbean United States East Coast,[11][33]
Frances,$10.1,$16.5,2004,Category 4 hurricane,The Caribbean Eastern United States Ontario,[11][19][34][35]
Georges,$9.3,<$6.0,1998,Category 4 hurricane,The Caribbean United States Gulf Coast,[5][36][37][38][39][40]
Allison,$9.0,<$6.0,2001,Tropical storm,Texas Louisiana Southern United States,[41][11][42]
Eta,$8.3,N/A,2020,Category 4 hurricane,The Caribbean Central America Cuba Eastern United States,
Gustav,$8.3,<$6.0,2008,Category 4 hurricane,Hispaniola Jamaica Cuba Louisiana,[11][12]
Jeanne,$7.9,$13.6,2004,Category 3 hurricane,The Caribbean Eastern United States,[11][19][43][44]
Sally,$7.3,N/A,2020,Category 2 hurricane,The Bahamas Florida Southeastern United States,[45][46]
Floyd,$6.5,$13.9,1999,Category 4 hurricane,The Bahamas Eastern United States Atlantic Canada,[11][47]
Mitch,$6.1,<$6.0,1998,Category 5 hurricane,Central America Yucatán Peninsula South Florida,[48][49][50]
Isabel,$5.5,<$6.0,2003,Category 5 hurricane,Greater Antilles The Bahamas Eastern United States Ontario,[11][51]
Dorian,$5.1,N/A,2019,Category 5 hurricane,The Caribbean The Bahamas Eastern United States Atlantic Canada,[52][53]
Imelda,$5.0,N/A,2019,Tropical storm,Texas Louisiana Oklahoma Arkansas,[54]
Fran,$5.0,$11.1,1996,Category 3 hurricane,Eastern United States Ontario,[11]
Isaias,$4.8,N/A,2020,Category 1 hurricane,Puerto Rico Dominican Republic Haiti Bahamas Eastern United States,[55]
Opal,$4.7,$10.0,1995,Category 4 hurricane,Guatemala Yucatán Peninsula Eastern United States,[11][56]
Zeta,$4.4,N/A,2020,Category 3 hurricane,Jamaica Yucatan Peninsula Louisiana Mississippi,[57]
Dennis,$4.0,<$6.0,2005,Category 4 hurricane,Greater Antilles Southeastern United States,[11][14][58]
Stan,$3.9,<$6.0,2005,Category 1 hurricane,Mexico Central America,[43][59]
Karl,$3.9,<$6.0,2010,Category 3 hurricane,Mexico Central America,[60]
Isaac,$3.1,<$6.0,2012,Category 1 hurricane,The Caribbean Eastern United States,[61]
Delta,$3.0,N/A,2020,Category 4 hurricane,Jamaica Cayman Islands Yucatan Peninsula Southeastern United States,
Alicia,$3.0,$13.6,1983,Category 3 hurricane,East Texas Louisiana,[62]
Gilbert,$3.0,<$6.0,1988,Category 5 hurricane,Venezuela Central America Hispaniola Mexico,[63]
Luis,$3.0,<$6.0,1995,Category 4 hurricane,Leeward Islands Puerto Rico Bermuda,[56]
